epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
0,0.7752014994621277,0.25,0.25,0.7326623797416687,0.0,0.0
1,0.7171916365623474,0.5,0.46666669845581055,0.7326623797416687,0.0,0.0
2,0.8080688714981079,0.125,0.1111111119389534,0.7326623797416687,0.0,0.0
3,0.7774608731269836,0.375,0.27272728085517883,0.7326623797416687,0.0,0.0
4,0.7098472118377686,0.375,0.3650793731212616,0.7326623797416687,0.0,0.0
5,0.7308987379074097,0.25,0.25,0.7326623797416687,0.0,0.0
